"Time","Memory utilization"
2025-10-22 07:18:00,80.3%
2025-10-22 07:19:00,64.5%
2025-10-22 07:20:00,61.7%
2025-10-22 07:21:00,61.8%
2025-10-22 07:22:00,61.8%
2025-10-22 07:23:00,61.9%
2025-10-22 07:24:00,61.9%
2025-10-22 07:25:00,62.0%
2025-10-22 07:26:00,62.0%
2025-10-22 07:27:00,62.0%
2025-10-22 07:28:00,61.9%
2025-10-22 07:29:00,61.9%
2025-10-22 07:30:00,61.4%
2025-10-22 07:31:00,61.5%
2025-10-22 07:32:00,61.4%
2025-10-22 07:33:00,61.7%
2025-10-22 07:34:00,61.6%
2025-10-22 07:35:00,61.7%
2025-10-22 07:36:00,61.7%
2025-10-22 07:37:00,61.7%
2025-10-22 07:38:00,61.7%
2025-10-22 07:39:00,61.7%
2025-10-22 07:40:00,61.7%
2025-10-22 07:41:00,61.7%
2025-10-22 07:42:00,61.7%
2025-10-22 07:43:00,61.7%
2025-10-22 07:44:00,61.7%
2025-10-22 07:45:00,61.5%
2025-10-22 07:46:00,61.5%
2025-10-22 07:47:00,61.5%
2025-10-22 07:48:00,61.7%
2025-10-22 07:49:00,61.8%
2025-10-22 07:50:00,61.8%
2025-10-22 07:51:00,61.8%
2025-10-22 07:52:00,61.8%
2025-10-22 07:53:00,61.8%
2025-10-22 07:54:00,62.0%
2025-10-22 07:55:00,62.0%
2025-10-22 07:56:00,61.9%
2025-10-22 07:57:00,61.9%
2025-10-22 07:58:00,61.9%
2025-10-22 07:59:00,61.9%
2025-10-22 08:00:00,62.0%
2025-10-22 08:01:00,62.0%
2025-10-22 08:02:00,62.0%
2025-10-22 08:03:00,62.0%
2025-10-22 08:04:00,61.9%
2025-10-22 08:05:00,62.1%
2025-10-22 08:06:00,62.0%
2025-10-22 08:07:00,62.0%
2025-10-22 08:08:00,62.1%
2025-10-22 08:09:00,62.1%
2025-10-22 08:10:00,62.3%
2025-10-22 08:11:00,62.3%
2025-10-22 08:12:00,62.7%
2025-10-22 08:13:00,64.6%
2025-10-22 08:14:00,65.1%
2025-10-22 08:15:00,66.4%
2025-10-22 08:16:00,64.5%
2025-10-22 08:17:00,64.6%
2025-10-22 08:18:00,62.1%
2025-10-22 08:19:00,62.3%
2025-10-22 08:20:00,62.3%
2025-10-22 08:21:00,62.3%
2025-10-22 08:22:00,62.4%
2025-10-22 08:23:00,62.4%
2025-10-22 08:24:00,62.3%
2025-10-22 08:25:00,62.4%
2025-10-22 08:26:00,62.4%
2025-10-22 08:27:00,62.4%
2025-10-22 08:28:00,62.4%
2025-10-22 08:29:00,62.5%
2025-10-22 08:30:00,62.5%
2025-10-22 08:31:00,62.1%
2025-10-22 08:32:00,62.1%
2025-10-22 08:33:00,62.5%
2025-10-22 08:34:00,62.5%
2025-10-22 08:35:00,62.5%
2025-10-22 08:36:00,62.6%
2025-10-22 08:37:00,62.7%
2025-10-22 08:38:00,62.6%
2025-10-22 08:39:00,62.6%
2025-10-22 08:40:00,62.4%
2025-10-22 08:41:00,62.4%
2025-10-22 08:42:00,62.4%
2025-10-22 08:43:00,62.4%
2025-10-22 08:44:00,62.4%
2025-10-22 08:45:00,62.5%
2025-10-22 08:46:00,
2025-10-22 08:47:00,
2025-10-22 08:48:00,62.7%
2025-10-22 08:49:00,62.6%
2025-10-22 08:50:00,62.5%
2025-10-22 08:51:00,62.5%
2025-10-22 08:52:00,62.5%
2025-10-22 08:53:00,62.5%
2025-10-22 08:54:00,62.5%
2025-10-22 08:55:00,62.5%
2025-10-22 08:56:00,62.5%
2025-10-22 08:57:00,62.5%
2025-10-22 08:58:00,62.5%
2025-10-22 08:59:00,62.5%
2025-10-22 09:00:00,62.6%
2025-10-22 09:01:00,62.6%
2025-10-22 09:02:00,62.6%
2025-10-22 09:03:00,62.7%
2025-10-22 09:04:00,62.6%
2025-10-22 09:05:00,62.6%
2025-10-22 09:06:00,62.7%
2025-10-22 09:07:00,62.7%
2025-10-22 09:08:00,66.4%
2025-10-22 09:09:00,66.2%
2025-10-22 09:10:00,66.2%
2025-10-22 09:11:00,66.0%
2025-10-22 09:12:00,65.9%
2025-10-22 09:13:00,65.9%
2025-10-22 09:14:00,66.4%
2025-10-22 09:15:00,66.6%
2025-10-22 09:16:00,66.1%
2025-10-22 09:17:00,68.5%
2025-10-22 09:18:00,71.9%
2025-10-22 09:19:00,65.6%
2025-10-22 09:20:00,65.4%
2025-10-22 09:21:00,65.8%
2025-10-22 09:22:00,66.0%
2025-10-22 09:23:00,68.9%
2025-10-22 09:24:00,68.9%
2025-10-22 09:25:00,68.8%
2025-10-22 09:26:00,68.1%
